"productId","title","productType","handle","metaTitle","currentMetaDescription","status"
"gid://shopify/Product/8379407433917","Men's Wrinkle-Resistant Long Sleeve Business Shirt","Men's Shirts","mens-casual-and-fashionable-long-sleeved-solid-color-shirt-non-ironing-and-wrinkle-resistant-business-top","Men's Casual and Fashionable Long Sleeved Solid Color Shirt Non Ironing and Wrinkle Resistant Business Top - Vennix","SPECIFICATIONSApplicable Scene: CASUALApplicable Season: Four SeasonsBrand Name: NONECN: Guizhou,ZhejiangClosure Type: Single BreastedCollar: Turn-Down CollarCraft of Weaving: KnitFabric Type: BroadclothGender: MenHigh-concerned chemical: NoneItem Type: SHIRTSMaterial: POLYESTEROrigin: Mainland ChinaPattern Type: SolidPlace Of Origin: China (mainland)Shirts Type: Casual ShirtsSleeve Length(cm): FullSleeve Style: regularStyle: Smart Casualwhether full opening: Yes modname=images&cols=1&colspace=10&rowspace=10&align=center - Vennix","good"
"gid://shopify/Product/8379407466685","Men's Moisture-Wicking Crew Neck T-Shirt 6-Pack","Men's T-Shirts","6-pack-mens-breathable-polyester-crew-neck-t-shirts-lightweight-moisture-wicking-short-sleeve-tops-in-multiple-colors-for-casual-wear-and-outdoor-activities","6-Pack Men's Breathable Polyester Crew Neck T-Shirts - Lightweight, Moisture-Wicking Short Sleeve Tops in Multiple Colors for Casual Wear and Outdoor Activities - Vennix","SPECIFICATIONSApplicable Scene: SportsApplicable Season: Four SeasonsBrand Name: NONECN: GuangdongCollar: O-NeckCraft of Weaving: KnitGender: MenHigh-concerned chemical: NoneItem Type: topsMaterial: POLYESTEROrigin: Mainland ChinaProduct Care Instructions: Machine WashSleeve Length(cm): Short (4 - 16 Inch)Special Features: Moisture WickingStyle: CasualTops Type: TEES - Vennix","generic"
"gid://shopify/Product/8379407499453","Men's Ice Silk Mesh Vest Lightweight Sports Summer Wear","men","mens-ice-silk-mesh-vest-lightweight-sports-summer-wear-sleeveless-t-shirt-tank-top-casual-fashion-outerwear","Men's Ice Silk Mesh Vest | VennixStore","Stay cool all summer in this breathable ice silk mesh vest lightweight, sleeveless, and built for active wear. Shop now.","generic"
"gid://shopify/Product/8379407532221","Men's Multi-Pocket Regular Fit Street Jeans","Men Jeans","mens-regular-fit-multi-pocket-jeans-street-style-cotton-blend-denim-black-gray-non-stretch-all-season-wear-classic-desi","Men's Regular Fit Multi-Pocket Jeans ","DailyApplicable Season: Four SeasonsBrand Name: NONECN: GuangdongClosure Type: Zipper FlyCountry Preference","good"
"gid://shopify/Product/8379407564989","Men's Summer Polo Shirt - Elevate Your Casual Look with Breathable Comfort","Men's Polo Shirts","mens-bone-flower-solid-color-polo-shirt-business-casual-short-sleeve-summer-breathable-versatile-top",,"Shop Men's Summer Polo Shirt - Elevate Your Casual Look with Breathable Comfort. Discover quality men's polo shirts designed for everyday style, comfort and eas","generic"
"gid://shopify/Product/8379407597757","Men's Ice Silk Fast-Dry Stretch Casual Pants","Men's Pants","men-fast-dry-stretch-pants-ice-silk-trousers-solid-color-mid-waist-loose-breathable-straight-leg-casual-pants-thin-sports-pants","Men Fast Dry Stretch Pants Ice Silk Trousers Solid Color Mid-Waist Loose Breathable Straight-Leg Casual Pants Thin Sports Pants - Vennix","SPECIFICATIONSApplicable Scene: DailyApplicable Season: Four SeasonsBrand Name: NONEClosure Type: Elastic WaistCraft of Weaving: TattingDecoration: PocketsFabric Type: TWILLFit Type: regularFront Style: FlatGender: MenHigh-concerned chemical: NoneItem Type: full lengthLength: Ankle-Length PantsMaterial: POLYESTERModel Number: pantsOrigin: Mainland ChinaPant Style: Harem PantsPlace Of Origin: China (mainland)Style: SportsThickness: MidweightWaist Type: MID Stretch Pants Men's Summer New Thin Business Casual Pants Breathable Straight Leg Tracksuit Pants Please check the Size Chart before order. If you are not sure the size, please send message to us. About The Product: 1.It is made of high quality materials,enought for your daily wearing. 2.Stylish and fashion design make you more attractive. 3.Great for Daily Casual,I am sure you will like it! 4.Wearing it will make you look more handsome. Package-Includes: Season:all season Gender:men Application: daily/casual Material:cotton-linen How to wash: hand wash cold, hang or line dry What you get: 1PC men pants Size Waist Hip Length M 64cm/25.20'' 100cm/39.37'' 94cm/37.01'' L 68cm/26.77'' 104cm/40.94'' 96cm/37.80'' XL 72cm/28.35'' 108cm/42.52'' 98cm/38.58'' XXL 76cm/29.92'' 112cm/44.09'' 100cm/39.37'' XXXL 80cm/31.50'' 118cm/46.46'' 102cm/40.16'' XXXXL 84cm/33.07'' 122cm/48.03'' 104cm/40.94'' XXXXXL 86cm/33.86'' 124cm/48.82'' 105cm/41.34'' - Vennix","generic"
"gid://shopify/Product/8379407630525","Men's 3-Piece Slim Fit Business & Wedding Suit","Men's Suits","mens-suits-3pcs-mens-business-suit-notch-lapel-blazer-formal-wedding-groom-pants-tux-vest-tuxedos-blazer-vest-pants",,"Shop Men's 3-Piece Slim Fit Business & Wedding Suit. Discover quality men's suits designed for everyday style, comfort and easy wear. Refresh your wardrobe toda","generic"
"gid://shopify/Product/8379407663293","Men's Loose Fit Streetwear Jogger Trousers","Men's Pants","puaia-print-mens-pants-autumn-winter-new-sport-jogging-trousers-fitness-loose-fit-clothing-solid-color-outfit-streetwear-pants",,"Shop Men's Loose Fit Streetwear Jogger Trousers. Discover quality men's pants designed for everyday style, comfort and easy wear. Refresh your wardrobe today an","generic"
"gid://shopify/Product/8379407696061","Men's Korean Streetwear Wide Leg Jeans","Men's Jeans","2024-new-streetwear-loose-jeans-men-korean-style-fashion-loose-straight-wide-leg-pants-mens-brand-clothing-black-light-blue","2024 New Streetwear Loose Jeans Men Korean Style Fashion Loose Straight Wide Leg Pants Men's Brand Clothing Black Light Blue - Vennix","SPECIFICATIONSApplicable Scene: DailyApplicable Season: Four SeasonsBrand Name: SHAN BAOCN: GuangdongClosure Type: Elastic WaistCountry Preference: GeneralCraft of Weaving: TattingElasticity: Slight StrechFabric Type: SoftenerFit Type: LooseGender: MenHigh-concerned chemical: NoneItem Type: JEANSJeans Style: slim JeansLength: full lengthMaterial: Other,COTTONOrigin: Mainland ChinaPlace Of Origin: China (mainland)Special Size: Standard SizeStyle: Youthful vitalityThickness: MidweightWaist Type: MIDWash: medium（18-24inch）Material composition: 78% Cotton, 22% PolyesterColor: polished white blue, dark blue, light blue, black gray, light graySize: S M L XL XXL 3XLThickness: RegularVersion Type: LooseStyle: leisureSuitable season: Four seasons1. The size is Asian size, smaller than US, UK, Australia, EU size. Please tell us your height and weight, and we will suggest a suitable size for you. 2. The data is manually tile measurement, there is an error of 1-3cm, please understand. 3. Due to different shooting light and different monitor resolutions, slight chromatic aberration will be caused. Please take the actual color of the goods as the default. - Vennix","good"
"gid://shopify/Product/8379407728829","Men's Slim-Fit Elastic Waist Jogger Pants","Men's Underwear","mens-casual-pants-straight-slim-fit-elastic-waist-jogger-korean-classic-blue-black-gray-male-brand-trousers-plus-size","Men's Slim Fit Jogger Pants | Elastic Waist | Vennix","Shop men's casual straight-leg pants with elastic waist. Slim fit, lightweight polyester in black, dark blue & grey. Sizes M–5XL.","generic"
"gid://shopify/Product/8447131582653","Elegant Women's V-Neck Ruffle Blouse with Tie Waist, Lantern Sleeves Long Sleeve Top","Women's Blouses","elegant-womens-v-neck-ruffle-blouse-with-tie-waist-lantern-sleeves-long-sleeve-top",,"Shop Elegant Women's V-Neck Ruffle Blouse with Tie Waist, Lantern Sleeves Long Sleeve Top. Discover quality women's blouses designed for everyday style, comfort","generic"
"gid://shopify/Product/8447155830973","Fashionable Pink Floral Round Neck Sleeveless Vest Dress for Women Casual Summer Style","Women's Dresses","fashionable-pink-floral-round-neck-sleeveless-vest-dress-for-women-casual-summer-style",,"Shop Fashionable Pink Floral Round Neck Sleeveless Vest Dress for Women Casual Summer Style. Discover quality women's dresses designed for everyday style, comfort a","generic"
"gid://shopify/Product/8447160942781","Motorcycle Balaclava Full Face Mask Skull Print Motorbike Full Face Mask Windproof Skiing Head Neck Warmer Bicycle Helmet Liner","Face Masks","motorcycle-balaclava-full-face-mask-skull-print-motorbike-full-face-mask-windproof-skiing-head-neck-warmer-bicycle-helmet-liner",,"Shop Motorcycle Balaclava Full Face Mask Skull Print Motorbike Full Face Mask Windproof Skiing Head Neck Warmer Bicycle Helmet Liner. Discover quality face masks","generic"
"gid://shopify/Product/8447161041085","Original Fluffy Cat Ear Hat Lolita Spiky Star Braided Hair Hat Autumn Winter Warmth Subculture Y2K Headwear","Hats","original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear",,"Shop Original Fluffy Cat Ear Hat Lolita Spiky Star Braided Hair Hat Autumn Winter Warmth Subculture Y2K Headwear. Discover quality hats designed for everyday style,","generic"
"gid://shopify/Product/8447282905277","Go Love Joy Half-Finger Fitness & Cycling Gloves","Fitness Accessories","go-love-joy-half-finger-fitness-cycling-gloves","Go Love Joy Half-Finger Fitness & Cycling Gloves - Vennix","Train Harder. Grip Better. Go Further.Meet the Go Love Joy Half-Finger Gloves — your ultimate training companion for cycling, weightlifting, and gym workouts. Engineered for performance and built for comfort, these gloves keep your hands protected while giving you the tactile control you need to push your limits.Key Features Half-finger design — full dexterity for gripping handlebars, barbells, and equipment Breathable mesh upper — keeps hands cool and sweat-free during intense sessions Anti-slip palm padding — reinforced grip zones reduce fatigue and prevent blisters Adjustable wrist strap — secure, customizable fit for every hand size Dual-color options — Pink/Black for a bold feminine look, Gray/Green for a performance-focused style Perfect For Road cycling & mountain biking Weightlifting & cross-training Gym workouts & fitness classes Whether you're hitting the trails or crushing a PR at the gym, Go Love Joy gloves deliver the grip, protection, and style to match your hustle. - Vennix","good"
"gid://shopify/Product/8447296110781","Cream Textured Tie-Front Crop Top & Mini Skirt Set","Women's Clothing","cream-textured-tie-front-crop-top-mini-skirt-set","Cream Textured Tie-Front Crop Top & Mini Skirt Set | Summer Two-Piece","Shop our cream textured tie-front crop top & mini skirt two-piece set. Flirty, resort-ready summer style. Perfect for beach, nights out & vacation looks.","generic"
"gid://shopify/Product/8448529137853","Fashionable New Printed Loose-fitting Women's Top","0","fashionable-new-printed-loose-fitting-womens-top",,,"empty"
"gid://shopify/Product/8448553681085","Round Neck Solid Color Long Sleeve T-Shirt","0","round-neck-solid-color-long-sleeve-t-shirt","Round Neck Solid Color Long Sleeve T-Shirt - Vennix","Main fabric composition: cotton size M L XL XXL 3XL bust 100 105 110 115 120 Sleeve 70 71.5 73 74.5 76 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly from the following images. - Vennix","good"
"gid://shopify/Product/8448554631357","Pure color all-match pants","0","pure-color-all-match-pants","Pure color all-match pants - Vennix","Fabric name: PU leather Main fabric composition: cotton The content of the main fabric ingredient: 100% Lining composition: polyester 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly from the following images. - Vennix","good"
"gid://shopify/Product/8448556040381","Cross Border Multi-color Solid Color 3D Printing Digital Printing Hooded Sweater Brown Lining Cotton-padded Jacket","0","cross-border-multi-color-solid-color-3d-printing-digital-printing-hooded-sweater-brown-lining-cotton-padded-jacket","Cross Border Multi-color Solid Color 3D Printing Digital Printing Hooded Sweater Brown Lining Cotton-padded Jacket - Vennix","Product information: Pattern: solid color Pocket Style: Dimensional patch pocket Color: Pattern 1, Pattern 2, pattern 3, pattern 4, pattern 5, pattern 6, pattern 7, pattern 8, Pattern 9, pattern 10 Suitable for people: Youth Size: S,M,L,XL,2XL,3XL,4XL,5XL Version: Loose Lining composition: Polyester Fiber (polyester) Content of lining ingredients: 100% Style: Cardigan Thickness: fleece-lined Fabric name: Polyester Fiber Applicable scenarios: Daily Main fabric composition: Polyester Fiber (polyester) Applicable Gender: Male Packing list: Jacket*1 Product Image: - Vennix","generic"
"gid://shopify/Product/8448557514941","Men's Fashion Straight Casual Pants","0","mens-fashion-straight-casual-pants","Men's Fashion Straight Casual Pants - Vennix","Product information: Pattern: solid color Color: Black, liner cotton, khaki plus cotton, gray cotton Size: M,L,XL,2XL,3XL,4XL,5XL Applicable scenarios: Leisure Fabric: Cotton Applicable Gender: Male Note: 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly from the following images. Packing list: Men's pants *1 Product Image: - Vennix","generic"
"gid://shopify/Product/8448558301373","Early Spring Long-sleeved Thin Sweater Female","0","early-spring-long-sleeved-thin-sweater-female","Early Spring Long-sleeved Thin Sweater Female - Vennix","Product information : Version: slim type Length: ordinary style (50cm < length ≤65cm) Collar type: V-neck Sleeve type: conventional sleeve Popular elements: straps Color: khaki Size Information: Size: S,M,L,XL Note: 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly fromthe following images. Packing list: Coat *1 - Vennix","generic"
"gid://shopify/Product/8448559448253","Women's Vintage Leopard Print Long-sleeved T-shirt","0","womens-vintage-leopard-print-long-sleeved-t-shirt",,,"empty"
"gid://shopify/Product/8448561152189","Women's Tube Top Fashion Cutout Thin Prom Evening Dress","0","womens-tube-top-fashion-cutout-thin-prom-evening-dress",,,"empty"
"gid://shopify/Product/8448562528445","Prom Ladies Dress Elegant Sequin Dress","0","prom-ladies-dress-elegant-sequin-dress",,,"empty"
"gid://shopify/Product/8448563544253","Casual Leopard Print Ruffled Swing Dress Summer Fashion Beach Dresses Women","4","casual-leopard-print-ruffled-swing-dress-summer-fashion-beach-dresses-women",,,"empty"
"gid://shopify/Product/8448564691133","Women's Sexy Elegant Evening Party Dresses Round Neck Pit Stripe Pearl Chiffon Cape Sleeve Wrapped Hip Dress","0","womens-sexy-elegant-evening-party-dresses-round-neck-pit-stripe-pearl-chiffon-cape-sleeve-wrapped-hip-dress",,,"empty"
"gid://shopify/Product/8448566296765","Solid Long Sleeve Sweater Slimming V-neckline Knitwear Women's Bottoming Shirt","0","solid-long-sleeve-sweater-slimming-v-neckline-knitwear-womens-bottoming-shirt","Solid Long Sleeve Sweater Slimming V-neckline Knitwear Women's Bottoming Shirt - Vennix","Overview: Unique design, stylish and beautiful. Good material, comfortable wear. A variety of colors, any choice. Product information: Size: S,M,L,XL,XXL, XXL,XXXXL, XXXXL Style type: Japanese and Korean casual Style: pullover Fabric name: Polyester Sleeve type: regular sleeve Style: casual style Size: Note: 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly from the following images. Packing list: Sweater *1 Product Image: - Vennix","generic"
"gid://shopify/Product/8448567836861","Satin Pajamas  Lace Pijama Nightie Sleepwear Home Clothes Tops And Shorts Women's Silk Pajamas Solid Color Pajama Set","0","satin-pajamas-lace-pijama-nightie-sleepwear-home-clothes-tops-and-shorts-womens-silk-pajamas-solid-color-pajama-set",,,"empty"
"gid://shopify/Product/8448569639101","Round neck long sleeve printed plus size t-shirt","0","round-neck-long-sleeve-printed-plus-size-t-shirt",,,"empty"
"gid://shopify/Product/8448570917053","Prom sequin dress","0","prom-sequin-dress","Prom sequin dress - Vennix","Pattern: sequins Craft: Collage/Stitching Style: Basic Combination form: single piece Skirt length: short skirt Skirt type: pencil skirt Collar type: round neck Sleeve type: conventional sleeve Popular elements: sequins, hollow Fabric name: polyester Main fabric composition: polyester fiber (polyester) The content of the main fabric ingredient: 51%-70% Main fabric composition 2: polyester fiber (polyester) 1. Asian sizes are 1 to 2 sizes smaller than European and American people. Choose the larger size if your size between two sizes. Please allow 2-3cm differences due to manual measurement. 2. Please check the size chart carefully before you buy the item, if you don't know how to choose size, please contact our customer service. 3.As you know, the different computers display colors differently, the color of the actual item may vary slightly from the following images. - Vennix","good"
"gid://shopify/Product/8448572096701","Large lapel short plaid jacket coat hooded cotton coat","0","large-lapel-short-plaid-jacket-coat-hooded-cotton-coat",,,"empty"
"gid://shopify/Product/8448573898941","Ladies Fashion Casual Slim Suit Two-piece Plus-size Suit, Plaid Pattern Elegant Skirt Suit With Buttons, Lapel Long Sleeve Suit Jacket And High Waist Skirt, Plus-size Women'S Wear Amazon Don't Sell","5","ladies-fashion-casual-slim-suit-two-piece-plus-size-suit-plaid-pattern-elegant-skirt-suit-with-buttons-lapel-long-sleeve-suit-jacket-and-high-waist-skirt-plus-size-womens-wear-amazon-dont-sell",,,"empty"
"gid://shopify/Product/8448574161085","Satin Party Dress V Neck Backless Mini Sleeveless Summer Party Dress","0","satin-party-dress-v-neck-backless-mini-sleeveless-summer-party-dress",,,"empty"
"gid://shopify/Product/8448574587069","Summer Women's Pajamas Suspenders Vest Shorts Set","0","summer-womens-pajamas-suspenders-vest-shorts-set",,,"empty"
"gid://shopify/Product/8448575013053","Women's Lace Chemise Nightgown Sling Home Pajamas Garter Set","0","womens-lace-chemise-nightgown-sling-home-pajamas-garter-set",,,"empty"
"gid://shopify/Product/8454878527677","Plaid Button-Up Cardigan","Women's Cardigans","plaid-button-up-cardigan",,"Shop Plaid Button-Up Cardigan. Discover quality women's cardigans designed for everyday style, comfort and easy wear. Refresh your wardrobe today and find your new fav","generic"
"gid://shopify/Product/8469424668861","Half Snap Dropped Shoulder Sweatshirt","Women's Sweatshirts","half-snap-dropped-shoulder-sweatshirt",,"Shop Half Snap Dropped Shoulder Sweatshirt. Discover quality women's sweatshirts designed for everyday style, comfort and easy wear. Refresh your wardrobe today and f","generic"
"gid://shopify/Product/8469424832701","Openwork Hooded Long Sleeve Sweater","Women's Sweaters","openwork-hooded-long-sleeve-sweater",,"Shop Openwork Hooded Long Sleeve Sweater. Discover quality women's sweaters designed for everyday style, comfort and easy wear. Refresh your wardrobe today and find y","generic"
"gid://shopify/Product/8469424996541","Polka Dot Contrast Trim Leopard Round Neck Sweatshirt","Women's Sweatshirts","polka-dot-contrast-trim-leopard-round-neck-sweatshirt",,"Shop Polka Dot Contrast Trim Leopard Round Neck Sweatshirt. Discover quality women's sweatshirts designed for everyday style, comfort and easy wear. Refresh your war","generic"
"gid://shopify/Product/8469425356989","Oversized Quarter-Zip Hoodie","Women's Sweatshirts","oversized-quarter-zip-hoodie",,"Shop Oversized Quarter-Zip Hoodie. Discover quality women's sweatshirts designed for everyday style, comfort and easy wear. Refresh your wardrobe today and find your n","generic"
"gid://shopify/Product/8469425586365","Angel Wings Heathered Turtleneck Long Sleeve Sweater","Women's Sweaters","angel-wings-heathered-turtleneck-long-sleeve-sweater",,"Shop Angel Wings Heathered Turtleneck Long Sleeve Sweater. Discover quality women's sweaters designed for everyday style, comfort and easy wear. Refresh your wardrobe","generic"
"gid://shopify/Product/8469425750205","Full Size Eyelet Ruffled Hem Tiered Dress Plus Size","Women's Dresses","full-size-eyelet-ruffled-hem-tiered-dress-plus-size",,"Shop Full Size Eyelet Ruffled Hem Tiered Dress Plus Size. Discover quality women's dresses designed for everyday style, comfort and easy wear. Refresh your wardrobe","generic"
"gid://shopify/Product/8469425979581","Leopard Print Long Sleeve Shirt Dress with Contrast Trim","Women's Dresses","leopard-print-long-sleeve-shirt-dress-with-contrast-trim",,"Shop Leopard Print Long Sleeve Shirt Dress with Contrast Trim. Discover quality women's dresses designed for everyday style, comfort and easy wear. Refresh your wardrobe","generic"
"gid://shopify/Product/8469426208957","Umgee Printed Puff Sleeve Ruffle Neck Top","Women's Tops","umgee-printed-puff-sleeve-ruffle-neck-top",,"Shop Umgee Printed Puff Sleeve Ruffle Neck Top. Discover quality women's tops designed for everyday style, comfort and easy wear. Refresh your wardrobe today and find yo","generic"
"gid://shopify/Product/8469426274493","Star Contrast Round Neck Long Sleeve Knit Top","Women's Tops","star-contrast-round-neck-long-sleeve-knit-top",,"Shop Star Contrast Round Neck Long Sleeve Knit Top. Discover quality women's tops designed for everyday style, comfort and easy wear. Refresh your wardrobe today and f","generic"
"gid://shopify/Product/8469426536637","Mandy Rolled Cap Sleeve Round Neck Sweater Vest","Women's Sweaters","mandy-rolled-cap-sleeve-round-neck-sweater-vest",,"Shop Mandy Rolled Cap Sleeve Round Neck Sweater Vest. Discover quality women's sweaters designed for everyday style, comfort and easy wear. Refresh your wardrobe today","generic"
"gid://shopify/Product/8469426700477","Plaid Deep V-Neck Long Sleeve Slim Fit Blouse","Women's Blouses","plaid-deep-v-neck-long-sleeve-slim-fit-blouse",,"Shop Plaid Deep V-Neck Long Sleeve Slim Fit Blouse. Discover quality women's blouses designed for everyday style, comfort and easy wear. Refresh your wardrobe today an","generic"
"gid://shopify/Product/8469427126461","Stripe holly jolly Letter Embroidered Pullover Sweatshirt","Women's Sweatshirts","stripe-holly-jolly-letter-embroidered-pullover-sweatshirt",,"Shop Stripe holly jolly Letter Embroidered Pullover Sweatshirt. Discover quality women's sweatshirts designed for everyday style, comfort and easy wear. Refresh your wa","generic"
"gid://shopify/Product/8469427454141","Zenana Scuba Dolman Sleeve Sweatshirt","Women's Sweatshirts","zenana-scuba-dolman-sleeve-sweatshirt",,"Shop Zenana Scuba Dolman Sleeve Sweatshirt. Discover quality women's sweatshirts designed for everyday style, comfort and easy wear. Refresh your wardrobe today and f","generic"
